rep,documents,operation,sample,latency_ns,correct
0,256,miss,25,2914750,1
0,256,unicode,25,2990441,1
0,256,exact,26,2983809,1
0,256,near,26,2985042,1
0,256,miss,26,3222178,1
0,256,unicode,26,2972197,1
0,256,exact,27,3020589,1
0,256,near,27,2943143,1
0,256,miss,27,2938885,1
0,256,unicode,27,5080130,1
0,256,exact,28,7041377,1
0,256,near,28,6527672,1
0,256,miss,28,6497164,1
0,256,unicode,28,4490561,1
0,256,exact,29,2985613,1
0,256,near,29,3537941,1
0,256,miss,29,2941850,1
0,256,unicode,29,3024716,1
0,256,exact,30,3058499,1
0,256,near,30,2954344,1
0,256,miss,30,2931611,1
0,256,unicode,30,3035235,1
0,256,exact,31,2960726,1
0,256,near,31,3014797,1
0,256,miss,31,2955305,1
0,256,unicode,31,2941570,1
0,256,exact,32,2948142,1
0,256,near,32,2960725,1
0,256,miss,32,2894832,1
0,256,unicode,32,2975263,1
0,256,exact,33,2912134,1
0,256,near,33,2976646,1
0,256,miss,33,3030777,1
0,256,unicode,33,2961588,1
0,256,exact,34,2944816,1
0,256,near,34,2904430,1
0,256,miss,34,2926401,1
0,256,unicode,34,3012052,1
0,256,exact,35,2932823,1
0,256,near,35,2933855,1
0,256,miss,35,2916383,1
0,256,unicode,35,2977687,1
0,256,exact,36,2911833,1
0,256,near,36,2941920,1
0,256,miss,36,2961437,1
0,256,unicode,36,2948934,1
0,256,exact,37,2956307,1
0,256,near,37,2902667,1
0,256,miss,37,2946088,1
0,256,unicode,37,2945608,1
0,256,exact,38,2932153,1
0,256,near,38,2970403,1
0,256,miss,38,2890194,1
0,256,unicode,38,2976335,1
0,256,exact,39,2962028,1
0,256,near,39,2903238,1
0,256,miss,39,3247675,1
0,256,unicode,39,2959383,1
0,256,exact,40,3223199,1
0,256,near,40,2915811,1
0,256,miss,40,2927564,1
0,256,unicode,40,3064231,1
0,256,exact,41,2902847,1
0,256,near,41,2922504,1
0,256,miss,41,2986364,1
0,256,unicode,41,2945968,1
0,256,exact,42,2915881,1
0,256,near,42,2905061,1
0,256,miss,42,2968570,1
0,256,unicode,42,2950366,1
0,256,exact,43,2912455,1
0,256,near,43,2946068,1
0,256,miss,43,2904300,1
0,256,unicode,43,2959854,1
0,256,exact,44,2899821,1
0,256,near,44,2949004,1
0,256,miss,44,2910010,1
0,256,unicode,44,2937662,1
0,256,exact,45,2946389,1
0,256,near,45,2916212,1
0,256,miss,45,2931821,1
0,256,unicode,45,2984360,1
0,256,exact,46,2907165,1
0,256,near,46,2926782,1
0,256,miss,46,2891856,1
0,256,unicode,46,5657184,1
0,256,exact,47,5771640,1
0,256,near,47,3034094,1
0,256,miss,47,3033963,1
0,256,unicode,47,3082725,1
0,256,exact,48,2974822,1
0,256,near,48,2930098,1
0,256,miss,48,2917825,1
0,256,unicode,48,3039163,1
0,256,exact,49,2964933,1
0,256,near,49,3012272,1
0,256,miss,49,3027522,1
0,256,unicode,49,2941429,1
0,256,serialize,0,481145,1
0,256,deserialize,0,1598736,1
0,256,insert,0,820472,1
0,256,update,0,765098,1
0,256,delete,0,763425,1
0,256,save,0,13283371,1
0,256,load,0,2471827,1
0,256,serialize,1,58911,1
0,256,deserialize,1,1810263,1
0,256,insert,1,865407,1
0,256,update,1,772913,1
0,256,delete,1,777391,1
0,256,save,1,11591540,1
0,256,load,1,1773824,1
0,256,serialize,2,65944,1
0,256,deserialize,2,1623512,1
0,256,insert,2,789574,1
0,256,update,2,762423,1
0,256,delete,2,775929,1
0,256,save,2,11618391,1
0,256,load,2,1762874,1
0,256,serialize,3,58039,1
0,256,deserialize,3,1556146,1
0,256,insert,3,763766,1
0,256,update,3,764056,1
0,256,delete,3,764727,1
0,256,save,3,10558709,1
0,256,load,3,1680309,1
0,256,serialize,4,55364,1
0,256,deserialize,4,1577265,1
0,256,insert,4,770298,1
0,256,update,4,763786,1
0,256,delete,4,763025,1
0,256,save,4,11344226,1
0,256,load,4,2036709,1
1,256,exact,0,2939746,1
1,256,near,0,2960706,1
1,256,miss,0,2903368,1
1,256,unicode,0,3010559,1
1,256,exact,1,2957460,1
1,256,near,1,2931060,1
1,256,miss,1,2941219,1
1,256,unicode,1,2966586,1
1,256,exact,2,2946649,1
1,256,near,2,2998026,1
1,256,miss,2,2914409,1
1,256,unicode,2,3042089,1
1,256,exact,3,3062106,1
1,256,near,3,3377108,1
1,256,miss,3,2916002,1
1,256,unicode,3,2976325,1
1,256,exact,4,2924498,1
1,256,near,4,2912786,1
1,256,miss,4,2927703,1
1,256,unicode,4,2959053,1
1,256,exact,5,2918897,1
1,256,near,5,2941870,1
1,256,miss,5,2917645,1
1,256,unicode,5,2977958,1
1,256,exact,6,2912826,1
1,256,near,6,2930689,1
1,256,miss,6,2911393,1
1,256,unicode,6,2939266,1
1,256,exact,7,2933245,1
1,256,near,7,2902877,1
1,256,miss,7,2919909,1
1,256,unicode,7,2954283,1
1,256,exact,8,2936400,1
1,256,near,8,2925139,1
1,256,miss,8,2901174,1
1,256,unicode,8,2973109,1
1,256,exact,9,2913076,1
1,256,near,9,2905302,1
1,256,miss,9,2913176,1
1,256,unicode,9,2957219,1
1,256,exact,10,2959534,1
1,256,near,10,2913066,1
1,256,miss,10,2928696,1
1,256,unicode,10,2974522,1
1,256,exact,11,2949494,1
1,256,near,11,2946720,1
1,256,miss,11,3073177,1
